"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"H12","CONN-SMD_GH1.25-3P","44.933mm","27.889mm","44.934mm","27.897mm","43.259mm","26.615mm","T","90","GH1.25-3PW"
"X1","OSC-SMD_4P-L2.0-W1.6-BL_ABRACON_AMPMAXXX","12.954mm","19.05mm","12.954mm","19.05mm","","","T","180","AMPMAFC-25.0000T"
"USB1","USB-C-SMD_TYPEC-303-ACP16","25.044mm","0.66mm","25.039mm","0.659mm","27.439mm","-1.491mm","T","180","TYPEC-303-ACP16"
"U12","DHVQFN20_L4.5-W2.5-P0.50-BL-EP","22.555mm","11.938mm","22.549mm","12.055mm","22.3mm","14.209mm","T","270","74HC244BQ,115"
"U11","TDFN-8_L3.0-W3.0-P0.65-BL-EP","22.606mm","20.701mm","22.606mm","20.701mm","21.631mm","19.206mm","T","0","SIT1044TK/3"
"U10","TDFN-8_L3.0-W3.0-P0.65-BL-EP","18.923mm","20.701mm","18.923mm","20.701mm","17.948mm","19.206mm","T","0","SIT1044TK/3"
"U9","TQFN-16_L3.0-W3.0-P0.50-BL-EP1.7","24.511mm","6.985mm","24.336mm","6.985mm","23.061mm","7.733mm","T","270","CH343P"
"U8","WSON-8","7.62mm","20.574mm","7.62mm","20.574mm","4.82mm","22.479mm","T","270","W25Q128JVPIQ"
"U7","UFBGA176+25","11.481mm","11.887mm","11.496mm","11.892mm","","","T","270","STM32H750IBK6"
"U6","SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR","39.726mm","28.829mm","41.529mm","28.829mm","39.628mm","27.329mm","B","180","AMS1117-3.3VSOT-89"
"U5","SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR","12.827mm","26.772mm","14.656mm","26.784mm","12.755mm","28.284mm","T","180","AMS1117-3.3VSOT-89"
"U4","TPS5430DDAR","10.16mm","27.305mm","10.033mm","27.305mm","13.16mm","29.21mm","B","270","TPS5430"
"U3","TPS5430DDAR","8.128mm","3.099mm","8.001mm","3.095mm","11.128mm","5mm","B","270","TPS5450"
"U2","C1812","-6.35mm","-0.254mm","-6.35mm","-0.254mm","-4.058mm","-0.254mm","B","180","22UF"
"U1","C1812","-6.35mm","4.191mm","-6.35mm","4.191mm","-4.058mm","4.191mm","B","180","22UF"
"SW2","SW-SMD_L3.9-W2.9-LS4.8-EH-A","5.334mm","-0.813mm","5.334mm","-1.143mm","3.034mm","-0.834mm","T","0","YD-3410"
"SW1","SW-SMD_L3.9-W2.9-LS4.8-EH-A","-10.363mm","28.448mm","-10.668mm","28.448mm","-10.359mm","30.748mm","T","270","YD-3410"
"RGB1","LED-SMD_4P-L3.2-W2.8-LS3.5-BR-1","-3.937mm","-0.254mm","-3.937mm","-0.254mm","-4.712mm","-1.654mm","T","270","FM-3528RGBA-HF"
"R66","0402_R","-6.096mm","35.179mm","-6.096mm","35.179mm","-6.096mm","35.604mm","B","270","2.2KΩ"
"R65","0402_R","-4.953mm","35.179mm","-4.953mm","35.179mm","-4.953mm","35.604mm","B","270","2.2KΩ"
"R64","0603_R","-7.493mm","35.687mm","-7.493mm","35.687mm","-7.493mm","34.917mm","B","90","0Ω"
"R63","0603_R","-9.017mm","35.687mm","-9.017mm","35.687mm","-9.017mm","34.917mm","B","90","0Ω"
"R62","0402_R","36.576mm","5.334mm","36.576mm","5.334mm","36.576mm","5.759mm","T","270","4.7KΩ"
"R61","0402_R","13.716mm","4.674mm","13.716mm","4.655mm","13.716mm","5.08mm","T","270","100Ω"
"R60","0402_R","12.573mm","4.674mm","12.573mm","4.655mm","12.573mm","5.08mm","T","270","100Ω"
"R59","0402_R","4.699mm","5.588mm","4.699mm","5.588mm","4.274mm","5.588mm","T","0","10KΩ"
"R58","0402_R","4.699mm","6.731mm","4.699mm","6.731mm","5.124mm","6.731mm","T","180","510Ω"
"R57","0402_R","18.542mm","9.906mm","18.542mm","9.906mm","18.967mm","9.906mm","T","180","4.7KΩ"
